Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Alpha1,Alpha2,Alpha3,Alpha4,Alpha5,Alpha6,Alpha7,Alpha8,BetaLow1,BetaLow2,BetaLow3,BetaLow4,BetaLow5,BetaLow6,BetaLow7,BetaLow8,BetaMid1,BetaMid2,BetaMid3,BetaMid4,BetaMid5,BetaMid6,BetaMid7,BetaMid8,BetaHigh1,BetaHigh2,BetaHigh3,BetaHigh4,BetaHigh5,BetaHigh6,BetaHigh7,BetaHigh8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Delta_Avg,Theta_Avg,Alpha_Avg,BetaLow_Avg,BetaMid_Avg,BetaHigh_Avg,Gamma_Avg,Delta_Bipolar_Avg,Theta_Bipolar_Avg,Alpha_Bipolar_Avg,BetaLow_Bipolar_Avg,BetaMid_Bipolar_Avg,BetaHigh_Bipolar_Avg,Gamma_Bipolar_Avg,Label
27.143,21.249,20.653,18.209,18.202,17.938,18.949,16.202,26.7,22.918,22.756,21.905,21.649,21.478,22.453,20.155,21.08,20.887,21.12,20.933,21.389,21.109,22.008,18.685,18.946,18.149,18.605,18.606,18.202,18.23,18.625,15.032,12.045,11.555,11.702,11.816,11.628,12.508,13.156,10.574,16.471,14.607,15.217,15.113,14.363,14.551,15.286,11.106,17.946,18.134,18.255,18.02,17.227,18.158,18.652,13.726,19.818,22.502,20.901,18.049,11.873,14.59,17.515,21.727,21.341,14.426,10.369,6.239,10.381,11.564,Blink
27.158,21.226,20.668,18.319,18.295,18.213,19.126,16.726,26.635,22.891,22.723,21.806,21.545,21.426,22.408,20.086,21.008,20.818,21.042,20.872,21.349,21.064,21.955,18.644,18.93,18.038,18.508,18.49,18.096,18.087,18.541,15.01,12.096,11.637,11.785,11.87,11.699,12.51,13.179,10.62,16.552,14.769,15.345,15.219,14.552,14.801,15.647,11.388,17.923,18.101,18.221,17.999,17.196,18.143,18.656,13.728,19.967,22.44,20.844,17.963,11.925,14.784,17.496,21.954,21.384,14.533,10.361,6.169,10.55,11.64,Blink
27.54,21.896,21.435,19.503,19.148,19.357,19.59,17.66,26.576,22.882,22.709,21.784,21.507,21.432,22.376,20.029,20.851,20.701,20.917,20.759,21.268,20.969,21.851,18.488,18.968,18.011,18.498,18.476,18.082,18.05,18.567,15.043,12.075,11.632,11.832,11.892,11.727,12.494,13.161,10.6,16.532,14.756,15.327,15.2,14.513,14.773,15.647,11.346,17.83,17.998,18.113,17.866,17.077,18.07,18.586,13.656,20.766,22.412,20.726,17.962,11.927,14.762,17.399,22.273,21.369,14.641,10.356,6.102,10.753,11.731,Blink
28.319,22.92,22.502,20.735,19.953,20.306,19.926,18.237,26.323,22.893,22.765,21.77,21.49,21.431,22.313,19.834,20.714,20.579,20.781,20.622,21.13,20.817,21.617,18.198,19.023,18.029,18.528,18.504,18.112,18.079,18.633,15.065,12.159,11.657,11.911,11.954,11.77,12.536,13.194,10.564,16.528,14.771,15.324,15.196,14.521,14.779,15.683,11.352,17.772,17.915,18.032,17.774,16.999,18.031,18.557,13.551,21.612,22.352,20.557,17.997,11.968,14.769,17.329,22.875,21.36,14.568,10.275,6.091,10.936,11.787,Blink
29.135,23.839,23.333,21.531,20.43,20.879,20.091,18.517,26.301,22.926,22.806,21.811,21.539,21.494,22.265,19.819,20.651,20.49,20.683,20.52,20.994,20.689,21.386,17.954,19.056,18.049,18.549,18.524,18.146,18.113,18.677,15.055,12.184,11.645,11.919,11.94,11.77,12.561,13.203,10.526,16.449,14.731,15.282,15.167,14.516,14.796,15.706,11.337,17.759,17.879,17.993,17.739,16.949,17.978,18.497,13.514,22.219,22.37,20.421,18.021,11.969,14.748,17.289,23.61,21.201,14.328,10.083,6.123,11.088,11.78,Blink
29.717,24.541,23.911,22.051,20.805,21.351,20.188,18.733,26.218,22.984,22.889,21.912,21.642,21.615,22.295,19.835,20.641,20.451,20.63,20.457,20.908,20.621,21.244,17.77,19.065,18.065,18.555,18.524,18.182,18.133,18.71,15.051,12.303,11.7,11.992,11.977,11.804,12.595,13.228,10.487,16.361,14.708,15.263,15.148,14.478,14.749,15.626,11.312,17.713,17.822,17.914,17.691,16.846,17.827,18.282,13.433,22.662,22.424,20.34,18.036,12.011,14.706,17.191,24.134,21.143,14.122,9.975,6.125,11.062,11.743,Blink
30.042,24.882,24.17,22.311,20.874,21.482,19.873,18.714,25.589,22.521,22.475,21.501,21.423,21.426,22.283,19.778,20.516,20.342,20.519,20.321,20.763,20.449,20.996,17.436,19.059,18.043,18.503,18.45,18.175,18.1,18.705,15.049,12.397,11.766,12.061,11.992,11.809,12.556,13.199,10.434,16.062,14.364,14.938,14.827,14.285,14.657,15.669,11.385,17.313,17.32,17.413,17.206,16.442,17.404,17.954,13.399,22.794,22.124,20.168,18.01,12.027,14.523,16.806,24.27,20.585,13.898,9.94,6.113,10.922,11.494,Blink
30.059,24.802,24.036,22.149,20.532,21.143,19.344,18.189,25.562,22.409,22.349,21.393,21.273,21.301,22.118,19.734,19.961,19.822,20.013,19.773,20.223,19.839,20.32,16.546,19.023,17.967,18.397,18.33,18.092,18.009,18.629,14.983,12.486,11.873,12.154,11.993,11.809,12.478,13.126,10.402,15.981,14.229,14.787,14.605,14.23,14.609,15.753,11.491,16.533,16.225,16.387,16.233,15.397,16.501,17.244,12.568,22.532,22.017,19.562,17.929,12.04,14.461,15.886,24.212,20.392,13.647,9.935,6.011,10.768,11.049,Blink
30.088,24.906,24.139,22.254,20.59,21.197,19.325,18.266,24.62,21.521,21.469,20.376,20.454,20.515,21.668,18.834,19.45,18.892,19.061,18.775,19.219,18.698,19.09,15.32,18.914,17.775,18.198,18.15,17.917,17.853,18.515,14.849,12.563,11.981,12.221,11.984,11.86,12.502,13.103,10.405,15.667,13.726,14.297,14.073,13.861,14.284,15.65,11.172,15.634,15.258,15.43,15.221,14.517,15.721,16.726,12.077,22.596,21.182,18.563,17.771,12.077,14.091,15.073,24.236,19.982,13.243,10.031,5.984,10.576,10.737,Blink
30.332,25.219,24.469,22.536,20.702,21.418,18.952,18.223,25.009,21.986,21.819,20.716,20.579,20.705,21.419,19.031,19.464,18.414,18.524,18.147,18.618,17.965,18.275,14.529,18.631,17.392,17.812,17.801,17.579,17.527,18.249,14.558,12.468,11.903,12.068,11.721,11.717,12.351,12.888,10.252,15.618,13.536,14.186,13.971,13.776,14.147,15.47,10.966,15.33,14.965,15.147,14.92,14.308,15.514,16.579,11.966,22.731,21.408,17.992,17.443,11.921,13.959,14.841,24.348,19.715,13.17,10.104,5.9,10.48,10.563,Blink
