Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Alpha1,Alpha2,Alpha3,Alpha4,Alpha5,Alpha6,Alpha7,Alpha8,BetaLow1,BetaLow2,BetaLow3,BetaLow4,BetaLow5,BetaLow6,BetaLow7,BetaLow8,BetaMid1,BetaMid2,BetaMid3,BetaMid4,BetaMid5,BetaMid6,BetaMid7,BetaMid8,BetaHigh1,BetaHigh2,BetaHigh3,BetaHigh4,BetaHigh5,BetaHigh6,BetaHigh7,BetaHigh8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Delta_Avg,Theta_Avg,Alpha_Avg,BetaLow_Avg,BetaMid_Avg,BetaHigh_Avg,Gamma_Avg,Delta_Bipolar_Avg,Theta_Bipolar_Avg,Alpha_Bipolar_Avg,BetaLow_Bipolar_Avg,BetaMid_Bipolar_Avg,BetaHigh_Bipolar_Avg,Gamma_Bipolar_Avg,Label
26.837,27.277,27.012,27.064,26.191,26.451,26.099,24.744,19.973,20.264,20.292,21.543,20.21,20.221,20.697,18.899,20.502,21.767,20.847,25.749,20.747,20.493,21.169,21.282,18.737,24.424,19.161,26.655,17.787,19.175,17.456,19.398,22.8,25.778,23.788,29.663,21.817,21.458,19.491,20.79,29.536,33.211,30.831,37.994,28.563,28.186,25.19,27.658,33.768,36.604,34.162,40.387,31.838,31.775,29.019,30.163,26.459,20.262,21.57,20.349,23.198,30.146,33.465,21.498,18.266,22.234,23.687,25.052,34.454,38.398,Crunch
26.578,27.118,26.762,26.817,25.97,26.357,25.866,24.548,19.977,20.191,20.315,21.572,20.288,20.237,20.784,19.157,20.504,22.731,20.883,25.32,20.865,20.991,21.253,21.252,18.98,24.734,19.399,26.426,18.07,19.587,17.6,19.465,22.067,25.386,23.374,29.642,21.395,21.191,19.045,20.328,29.515,33.163,30.888,38.174,28.617,28.156,25.247,27.778,33.756,36.536,34.163,40.475,31.845,31.714,29.018,30.24,26.252,20.315,21.725,20.533,22.803,30.192,33.469,21.594,18.267,22.408,23.705,24.824,34.567,38.422,Crunch
26.3,26.826,26.485,26.682,25.725,26.182,25.658,24.349,19.925,20.484,20.311,21.325,20.268,20.384,20.824,19.175,20.608,23.556,21.003,25.072,20.961,21.439,21.266,21.188,19.069,24.943,19.312,25.843,18.098,19.842,17.675,19.411,21.472,25.21,23.165,29.75,21.2,21.171,18.87,20.041,29.112,32.962,30.618,38.101,28.404,27.988,25.03,27.677,33.736,36.492,34.131,40.526,31.806,31.67,28.937,30.231,26.026,20.337,21.887,20.524,22.61,29.987,33.441,21.457,18.602,22.774,23.568,24.701,34.434,38.478,Crunch
26.179,26.633,26.345,26.664,25.601,26.076,25.65,24.323,19.897,20.489,20.283,21.22,20.283,20.464,20.945,19.489,20.635,24.051,21.037,24.719,20.947,21.723,21.245,21.14,19.32,25.275,19.506,25.736,18.329,20.342,17.924,19.496,21.323,25.27,23.133,29.862,21.16,21.298,18.819,19.972,28.746,32.844,30.237,37.763,28.037,27.849,24.671,27.312,33.553,36.429,33.983,40.458,31.644,31.535,28.686,30.098,25.934,20.384,21.937,20.741,22.604,29.682,33.298,21.528,18.867,23.001,23.696,24.887,34.199,38.439,Crunch
26.203,26.671,26.329,26.58,25.58,26.071,25.723,24.389,19.951,20.571,20.305,21.26,20.25,20.444,20.972,19.497,20.474,24.123,20.854,24.157,20.818,21.829,21.195,21.03,19.631,25.772,19.869,25.697,18.614,21.008,18.102,19.555,21.287,25.483,23.118,29.805,21.127,21.489,18.714,19.834,28.438,32.571,29.817,37.43,27.598,27.602,24.282,26.906,32.906,35.848,33.376,40.076,31.066,31.035,28.106,29.523,25.943,20.406,21.81,21.031,22.607,29.331,32.742,22.212,19.212,22.841,23.952,25.065,33.974,37.987,Crunch
25.929,26.561,25.995,26.101,25.266,25.888,25.53,24.205,20.216,20.509,20.419,21.477,20.269,20.437,20.991,19.552,20.428,24.111,20.777,23.865,20.762,21.89,21.156,20.984,19.795,26.091,20.088,25.575,18.774,21.429,18.134,19.53,20.809,25.622,22.67,29.26,20.701,21.527,18.309,19.204,28.834,32.863,29.968,37.365,27.697,27.849,24.42,26.881,32.796,35.742,33.134,39.704,30.81,30.935,27.895,29.123,25.684,20.484,21.747,21.177,22.263,29.484,32.517,22.841,19.845,22.765,24.1,24.99,34.067,37.731,Crunch
25.338,26.183,25.326,25.305,24.575,25.464,25.039,23.685,20.042,20.274,20.181,21.415,20.059,20.259,20.851,19.516,20.457,24.069,20.757,23.756,20.757,21.891,21.156,20.992,19.953,26.385,20.377,25.526,19.008,21.816,18.153,19.507,20.399,25.555,22.253,28.891,20.289,21.407,18.018,18.738,29.223,33.156,30.24,37.436,28.006,28.364,24.842,27.081,32.931,35.747,33.191,39.708,30.832,30.943,27.902,29.141,25.114,20.325,21.729,21.34,21.944,29.793,32.549,23.085,19.941,22.758,24.254,24.852,34.23,37.771,Crunch
24.839,25.836,24.695,24.65,23.807,25.012,24.502,23.142,20.137,20.262,20.229,21.47,20.062,20.191,20.794,19.461,20.514,24.086,20.793,23.965,20.768,21.875,21.174,21.036,19.866,26.57,20.454,25.415,19.07,22.055,18.052,19.426,20.107,25.454,21.916,28.57,19.945,21.272,17.785,18.226,29.582,33.26,30.572,37.682,28.361,28.638,25.228,27.405,33.12,35.868,33.38,39.836,30.99,31.029,27.988,29.283,24.561,20.326,21.776,21.364,21.659,30.091,32.687,23.133,20.155,22.896,24.358,24.656,34.376,37.888,Crunch
24.7,25.85,24.449,24.387,23.44,24.896,24.247,22.874,20.24,20.658,20.345,21.504,20.172,20.289,20.766,19.427,20.423,24.108,20.724,24.155,20.625,21.757,21.02,20.984,19.535,26.522,20.253,25.298,18.821,21.96,17.694,19.27,20.088,25.412,21.845,28.542,19.866,21.24,17.73,18.11,29.768,33.47,30.678,37.64,28.402,28.704,25.222,27.355,33.098,35.95,33.383,39.768,30.978,31.063,27.862,29.251,24.355,20.425,21.725,21.169,21.604,30.155,32.669,23.242,20.374,22.979,24.356,24.583,34.42,37.839,Crunch
24.67,25.933,24.475,24.336,23.552,25.045,24.346,22.928,20.295,20.944,20.446,21.612,20.343,20.359,20.729,19.502,20.353,24.31,20.72,24.292,20.52,21.726,20.79,20.882,19.024,26.194,19.93,25.365,18.461,21.553,17.143,19.215,20.116,25.46,21.884,28.484,19.927,21.282,17.687,18.054,29.71,33.729,30.563,37.24,28.29,28.878,25.073,27.09,33.015,35.957,33.229,39.466,30.811,31.063,27.742,28.931,24.411,20.529,21.699,20.861,21.612,30.072,32.527,23.265,20.452,23.056,24.188,24.579,34.375,37.703,Crunch
