Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Alpha1,Alpha2,Alpha3,Alpha4,Alpha5,Alpha6,Alpha7,Alpha8,BetaLow1,BetaLow2,BetaLow3,BetaLow4,BetaLow5,BetaLow6,BetaLow7,BetaLow8,BetaMid1,BetaMid2,BetaMid3,BetaMid4,BetaMid5,BetaMid6,BetaMid7,BetaMid8,BetaHigh1,BetaHigh2,BetaHigh3,BetaHigh4,BetaHigh5,BetaHigh6,BetaHigh7,BetaHigh8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Delta_Avg,Theta_Avg,Alpha_Avg,BetaLow_Avg,BetaMid_Avg,BetaHigh_Avg,Gamma_Avg,Delta_Bipolar_Avg,Theta_Bipolar_Avg,Alpha_Bipolar_Avg,BetaLow_Bipolar_Avg,BetaMid_Bipolar_Avg,BetaHigh_Bipolar_Avg,Gamma_Bipolar_Avg,Label
13.699,15.996,16.308,12.913,17.569,17.595,17.327,16.96,12.629,12.276,14.412,13.367,13.479,11.002,10.064,10.548,5.102,6.315,6.282,7.816,6.278,8.55,7.073,7.655,5.248,6.568,5.812,5.877,6.436,8.639,8.278,4.845,-0.253,2.531,0.616,1.029,0.505,4.343,3.748,1.105,6.117,6.814,6.093,6.294,7.257,8.386,8.533,7.458,8.913,8.786,8.474,7.986,8.788,9.681,9.946,8.714,16.046,12.222,6.884,6.463,1.703,7.119,8.911,14.547,10.921,8.118,4.792,0.54,6.175,4.695,relaxed
13.743,16.055,16.395,12.978,17.662,17.589,17.334,17.004,12.735,12.579,14.605,13.605,13.701,11.066,9.964,10.542,4.434,5.531,5.453,7.447,6.237,8.946,7.658,7.77,5.093,6.067,5.436,5.494,6.175,8.206,8.276,4.831,-0.725,2.054,-0.114,0.438,-0.03,3.927,3.612,1.136,6.077,6.813,6.094,6.272,7.405,8.604,8.905,7.769,8.788,8.729,8.295,7.894,8.617,9.597,9.804,8.55,16.095,12.35,6.685,6.197,1.287,7.242,8.784,14.675,10.811,8.005,4.689,0.474,6.289,4.664,relaxed
13.773,16.226,16.498,13.236,17.725,17.798,17.416,17.021,12.727,12.652,14.678,13.667,13.755,11.071,9.973,10.619,4.092,4.772,4.604,7.017,5.905,9.02,7.768,7.666,5.067,5.61,5.084,5.073,5.844,7.654,8.242,4.694,-1.203,1.782,-0.48,0.192,-0.431,3.505,3.311,0.998,5.702,6.571,5.974,6.233,7.416,8.65,9.028,7.826,8.646,8.674,8.149,7.91,8.596,9.686,9.813,8.526,16.212,12.393,6.356,5.909,0.959,7.175,8.75,14.727,10.86,7.826,4.587,0.389,6.257,4.757,relaxed
14.183,16.636,16.897,13.899,17.943,17.907,17.489,17.093,12.866,13.134,14.911,13.907,14.017,11.696,10.268,10.885,4.01,4.012,4.113,6.741,5.622,9.004,7.813,7.722,5.005,5.432,4.746,4.547,5.528,7.339,8.273,4.514,-1.169,1.92,-0.29,0.276,-0.163,3.531,3.435,1.258,5.703,6.15,5.875,6.26,7.324,8.554,9.031,7.842,8.761,8.677,8.13,7.913,8.616,9.79,9.943,8.482,16.506,12.71,6.13,5.673,1.1,7.092,8.789,14.727,10.914,7.7,4.565,0.441,6.27,4.694,relaxed
14.409,16.715,17.06,14.163,18.02,17.757,17.47,17.147,13.013,13.491,15.242,14.226,14.21,11.714,10.534,10.93,4.086,3.276,3.88,6.464,5.347,9.009,7.859,7.807,4.971,5.427,4.549,4.229,5.38,7.301,8.336,4.461,-1.154,1.931,-0.134,0.354,-0.098,3.467,3.424,1.349,5.844,6.073,6.001,6.265,7.29,8.574,9.035,7.735,8.653,8.614,8.081,7.892,8.596,9.804,9.971,8.479,16.592,12.92,5.966,5.582,1.142,7.102,8.761,14.592,11.514,7.597,4.658,0.627,6.342,4.525,relaxed
14.287,16.576,17.002,14.115,17.918,17.644,17.384,17.115,12.984,13.536,15.265,14.175,14.232,11.797,10.659,10.974,4.232,2.972,3.835,6.136,5.142,9.085,7.899,7.829,4.975,5.407,4.447,4.08,5.302,7.313,8.303,4.382,-1.059,1.8,-0.025,0.248,-0.211,3.269,3.331,1.307,5.679,6.168,5.996,6.187,7.318,8.63,9.099,7.689,8.722,8.751,8.213,7.995,8.715,10.025,10.122,8.57,16.505,12.953,5.891,5.526,1.083,7.096,8.889,14.557,11.401,7.559,4.696,0.617,6.281,4.527,relaxed
14.265,16.792,17.101,14.302,17.941,17.745,17.316,17.044,13.097,13.856,15.533,14.481,14.394,11.804,10.771,10.871,4.193,2.846,3.83,5.797,5.063,9.221,8.166,7.918,4.895,5.313,4.24,3.793,5.098,7.183,8.129,4.292,-1.033,1.57,-0.017,-0.205,-0.408,3.069,3.109,1.208,5.622,6.386,5.959,6.162,7.53,8.824,9.307,7.806,8.835,8.962,8.366,8.058,8.876,10.244,10.291,8.696,16.563,13.101,5.879,5.368,0.912,7.199,9.041,14.748,11.788,7.51,4.627,0.489,6.366,4.478,relaxed
14.567,17.127,17.279,14.594,18.061,17.876,17.318,17.026,13.002,13.942,15.524,14.415,14.454,11.797,10.8,10.769,3.991,3.014,3.875,5.644,5.102,9.23,8.35,7.93,4.78,5.175,3.961,3.417,4.753,6.848,7.813,4.185,-0.796,1.626,-0.047,-0.606,-0.288,3.059,3.141,1.162,5.683,6.608,6.005,6.362,7.933,9.209,9.75,8.254,9.031,9.124,8.562,8.145,8.966,10.402,10.366,8.74,16.731,13.088,5.892,5.116,0.906,7.475,9.167,14.817,11.911,7.381,4.38,0.412,6.561,4.448,relaxed
14.754,17.102,17.272,14.634,18.03,17.905,17.322,17.029,12.96,13.9,15.506,14.386,14.417,11.55,10.723,10.755,3.811,2.899,3.734,5.756,4.923,9.008,8.441,7.851,4.763,5.052,3.705,3.238,4.44,6.485,7.496,4.204,-0.477,1.902,0.034,-0.917,0.037,3.561,3.522,1.386,5.656,6.697,5.994,6.446,8.187,9.643,10.265,8.711,9.052,9.14,8.566,8.097,8.93,10.495,10.411,8.791,16.756,13.025,5.803,4.923,1.131,7.7,9.185,14.696,11.787,7.232,4.091,0.595,6.847,4.363,relaxed
14.634,16.91,17.227,14.576,17.988,17.939,17.327,17.034,12.675,13.59,15.248,14.13,14.146,11.304,10.512,10.591,3.867,2.703,3.571,5.868,4.786,8.814,8.766,7.822,4.693,4.946,3.53,3.362,4.258,6.312,7.306,4.318,0.449,2.395,0.537,-0.551,1.016,4.282,4.083,1.763,5.748,6.835,6.154,6.454,8.307,9.721,10.426,8.92,8.984,9.073,8.485,7.998,8.86,10.402,10.353,8.769,16.705,12.774,5.775,4.84,1.747,7.821,9.116,14.537,11.747,7.213,3.905,0.972,6.906,4.185,relaxed
14.729,16.999,17.358,14.666,18.031,17.933,17.273,16.992,12.641,13.525,15.184,14.058,14.076,11.309,10.407,10.527,4.038,3.359,3.644,5.637,4.883,8.85,8.961,7.613,4.407,4.735,3.268,3.393,4.115,6.422,7.228,4.348,1.406,3.052,1.387,0.036,2.067,4.834,4.561,2.171,6.01,7.278,6.781,6.675,8.654,9.598,10.507,9.096,8.901,8.942,8.531,8.092,8.802,10.189,10.212,8.727,16.748,12.716,5.873,4.739,2.439,8.075,9.049,14.587,11.765,7.238,3.814,1.23,6.798,4.011,relaxed
15.089,17.294,17.552,14.822,18.101,17.917,17.194,16.93,12.609,13.354,15.014,13.89,13.842,11.231,10.208,10.52,4.601,3.818,3.477,5.097,4.678,8.827,8.891,7.313,4.293,4.632,3.14,3.165,4.126,6.642,7.229,4.372,2.198,3.78,2.122,0.578,3.203,5.55,5.226,2.74,5.887,7.222,6.8,6.607,8.587,9.424,10.378,8.981,8.845,9.014,8.65,8.217,8.937,10.168,10.304,8.915,16.862,12.584,5.838,4.7,3.175,7.986,9.131,14.729,11.86,7.271,3.79,1.484,6.691,3.99,relaxed
15.301,17.432,17.6,14.891,18.103,17.87,17.175,16.904,12.501,13.316,14.989,13.851,13.82,11.559,10.324,10.603,5.637,4.263,3.586,4.949,4.594,8.631,8.747,7.083,4.545,4.809,3.428,2.785,4.457,7.016,7.335,4.536,2.522,4.045,2.447,0.818,3.659,5.701,5.435,3.009,5.928,7.482,6.812,6.557,8.701,9.72,10.477,8.938,8.772,8.938,8.546,8.141,8.86,10.052,10.117,8.825,16.909,12.62,5.936,4.864,3.455,8.077,9.031,14.699,11.974,7.321,3.836,1.602,6.708,3.936,relaxed
15.312,17.422,17.59,14.894,18.085,17.796,17.186,16.896,12.487,13.332,15.01,13.838,13.833,11.652,10.464,10.869,6.761,4.845,4.356,5.27,5.017,8.296,8.599,6.994,4.835,5.306,4.006,2.478,5.142,7.537,7.583,4.833,2.577,4.001,2.479,0.801,3.653,5.667,5.399,3.003,6.373,8.109,7.321,6.711,9.121,10.126,10.684,9.029,9.044,9.23,8.794,8.227,9.053,10.109,10.156,8.833,16.898,12.686,6.267,5.215,3.447,8.434,9.181,14.612,12.06,7.376,4.024,1.6,6.696,3.994,relaxed
